documento,pal1,pal2,pal3,pal4,pal5,pal6,pal7,pal8,pal9,pal10
1943-08-22 - CORS Acta reunión 1,delegados,navales,cors,consejo,frente,pintores,construcción,albañiles,reunión,mandato
1943-08-22 - CORS Acta reunión 10,reunión,organizaciones,cors,memorial,pintores,navales,correale,invitación,nombre,comisión
1943-08-22 - CORS Acta reunión 2,delegados,organizaciones,presidente,puntos,reunión,navales,sanitaria,delegado,movimiento,hoja
1943-08-22 - CORS Acta reunión 3,sindicato,decreto,organizaciones,posibilidades,construccion,situación,expresa,general,idea,huelga
1943-08-22 - CORS Acta reunión 4,unidad,mar,plata,dice,huelga,general,obreros,decreto,movimiento,clase
1943-08-22 - CORS Acta reunión 5,decreto,huelga,gobierno,navales,consejo,correale,dice,fora,reunión,construcciones
1943-08-22 - CORS Acta reunión 6,decreto,sector,debe,dice,garcía,pintores,capital,cabrera,problema,organizaciones
1943-08-22 - CORS Acta reunión 7,si,movimiento,luchar,obrero,puntos,memorial,contacto,mozos,bolches,opinión
1943-08-22 - CORS Acta reunión 8,dicho,dos,estatal,movimiento,obrero,todas,luchar,parte,ahora,parece
1943-08-22 - CORS Acta reunión 9,mar,plata,dice,movimiento,obrero,injuriosas,pintores,cabrera,opiniones,balbuena
__SUBCORPUS__,decreto,dice,mar,plata,movimiento,organizaciones,navales,reunión,obrero,pintores
